['0.0.0.0:80']
# Stats from 0.0.0.0:80
# [n], [mean], [std.], [min], [max]
1, 268.789, 298.727, 3.01, 987.551
2, 409.674, 280.374, 3.791, 969.371
3, 405.589, 245.694, 25.554, 902.397
4, 446.32, 261.134, 13.007, 946.486
5, 490.242, 278.579, 20.365, 959.321
6, 522.572, 261.671, 17.048, 990.61
7, 527.489, 269.936, 51.113, 987.189
8, 568.434, 279.284, 5.54, 987.496
9, 621.74, 268.239, 56.713, 992.7
10, 627.462, 252.621, 15.861, 998.53
